participant number,current block,block number,case number,first,second,chose
1,stair1_75,0,57,nagao,ours,
1,stair1_75,0,58,seo,nagao,
1,stair1_75,0,59,ours,nagao,
1,stair1_100,1,0,nagao,ours,
1,stair1_100,1,1,real,nagao,
1,stair1_100,1,2,ours,seo,
1,stair1_100,1,3,real,seo,
1,stair1_100,1,4,seo,ours,
1,stair1_100,1,5,real,ours,
1,stair1_100,1,6,ours,real,
1,stair1_100,1,7,ours,nagao,
1,stair1_100,1,8,nagao,seo,
1,stair1_100,1,9,nagao,real,
1,stair1_100,1,10,seo,nagao,
1,stair1_100,1,11,seo,real,
1,stair1_100,1,12,nagao,ours,
1,stair1_100,1,13,seo,ours,
1,stair1_100,1,14,ours,real,
1,stair1_100,1,15,real,nagao,
1,stair1_100,1,16,nagao,real,
1,stair1_100,1,17,real,ours,
1,stair1_100,1,18,seo,nagao,
1,stair1_100,1,19,real,seo,
1,stair1_100,1,20,ours,nagao,
1,stair1_100,1,21,nagao,seo,
1,stair1_100,1,22,seo,real,
1,stair1_100,1,23,ours,seo,
1,stair1_100,1,24,seo,real,
1,stair1_100,1,25,nagao,real,
1,stair1_100,1,26,real,nagao,
1,stair1_100,1,27,real,ours,
1,stair1_100,1,28,real,seo,
1,stair1_100,1,29,ours,nagao,
1,stair1_100,1,30,ours,seo,
1,stair1_100,1,31,seo,ours,
1,stair1_100,1,32,seo,nagao,
1,stair1_100,1,33,nagao,seo,
1,stair1_100,1,34,nagao,ours,
1,stair1_100,1,35,ours,real,
1,stair1_100,1,36,real,seo,
1,stair1_100,1,37,seo,nagao,
1,stair1_100,1,38,ours,nagao,
1,stair1_100,1,39,seo,real,
1,stair1_100,1,40,seo,ours,
1,stair1_100,1,41,nagao,seo,
1,stair1_100,1,42,nagao,ours,
1,stair1_100,1,43,real,ours,
1,stair1_100,1,44,real,nagao,
1,stair1_100,1,45,ours,real,
1,stair1_100,1,46,ours,seo,
1,stair1_100,1,47,nagao,real,
1,stair1_100,1,48,nagao,ours,
1,stair1_100,1,49,ours,real,
1,stair1_100,1,50,seo,nagao,
1,stair1_100,1,51,nagao,real,
1,stair1_100,1,52,seo,real,
1,stair1_100,1,53,real,seo,
1,stair1_100,1,54,real,ours,
1,stair1_100,1,55,nagao,seo,
1,stair1_100,1,56,seo,ours,
1,stair1_100,1,57,ours,seo,
1,stair1_100,1,58,real,nagao,
1,stair1_100,1,59,ours,nagao,
1,stair2_100,2,0,nagao,ours,
1,stair2_100,2,1,nagao,real,
1,stair2_100,2,2,ours,seo,
1,stair2_100,2,3,real,nagao,
1,stair2_100,2,4,ours,nagao,
1,stair2_100,2,5,seo,nagao,
1,stair2_100,2,6,nagao,seo,
1,stair2_100,2,7,real,ours,
1,stair2_100,2,8,real,seo,
1,stair2_100,2,9,seo,ours,
1,stair2_100,2,10,ours,real,
1,stair2_100,2,11,seo,real,
1,stair2_100,2,12,real,ours,
1,stair2_100,2,13,nagao,real,
1,stair2_100,2,14,ours,real,
1,stair2_100,2,15,seo,ours,
1,stair2_100,2,16,ours,nagao,
1,stair2_100,2,17,nagao,seo,
1,stair2_100,2,18,real,seo,
1,stair2_100,2,19,real,nagao,
1,stair2_100,2,20,seo,real,
1,stair2_100,2,21,ours,seo,
1,stair2_100,2,22,nagao,ours,
1,stair2_100,2,23,seo,nagao,
1,stair2_100,2,24,nagao,seo,
1,stair2_100,2,25,ours,nagao,
1,stair2_100,2,26,nagao,ours,
1,stair2_100,2,27,seo,nagao,
1,stair2_100,2,28,nagao,real,
1,stair2_100,2,29,seo,real,
1,stair2_100,2,30,real,seo,
1,stair2_100,2,31,ours,seo,
1,stair2_100,2,32,ours,real,
1,stair2_100,2,33,real,nagao,
1,stair2_100,2,34,seo,ours,
1,stair2_100,2,35,real,ours,
1,stair2_100,2,36,real,ours,
1,stair2_100,2,37,nagao,seo,
1,stair2_100,2,38,ours,nagao,
1,stair2_100,2,39,ours,seo,
1,stair2_100,2,40,seo,nagao,
1,stair2_100,2,41,seo,real,
1,stair2_100,2,42,real,seo,
1,stair2_100,2,43,nagao,real,
1,stair2_100,2,44,nagao,ours,
1,stair2_100,2,45,real,nagao,
1,stair2_100,2,46,seo,ours,
1,stair2_100,2,47,ours,real,
1,stair2_100,2,48,nagao,real,
1,stair2_100,2,49,ours,seo,
1,stair2_100,2,50,ours,nagao,
1,stair2_100,2,51,nagao,seo,
1,stair2_100,2,52,seo,real,
1,stair2_100,2,53,ours,real,
1,stair2_100,2,54,nagao,ours,
1,stair2_100,2,55,real,nagao,
1,stair2_100,2,56,real,ours,
1,stair2_100,2,57,seo,ours,
1,stair2_100,2,58,seo,nagao,
1,stair2_100,2,59,real,seo,
1,stair2_75,3,0,ours,nagao,
1,stair2_75,3,1,seo,ours,
1,stair2_75,3,2,real,seo,
1,stair2_75,3,3,nagao,ours,
1,stair2_75,3,4,nagao,real,
1,stair2_75,3,5,nagao,seo,
1,stair2_75,3,6,ours,real,
1,stair2_75,3,7,ours,seo,
1,stair2_75,3,8,real,nagao,
1,stair2_75,3,9,real,ours,
1,stair2_75,3,10,seo,nagao,
1,stair2_75,3,11,seo,real,
1,stair2_75,3,12,nagao,seo,
1,stair2_75,3,13,nagao,ours,
1,stair2_75,3,14,real,ours,
1,stair2_75,3,15,seo,ours,
1,stair2_75,3,16,ours,seo,
1,stair2_75,3,17,seo,real,
1,stair2_75,3,18,seo,nagao,
1,stair2_75,3,19,real,seo,
1,stair2_75,3,20,nagao,real,
1,stair2_75,3,21,ours,nagao,
1,stair2_75,3,22,real,nagao,
1,stair2_75,3,23,ours,real,
1,stair2_75,3,24,real,ours,
1,stair2_75,3,25,nagao,real,
1,stair2_75,3,26,seo,real,
1,stair2_75,3,27,ours,nagao,
1,stair2_75,3,28,seo,ours,
1,stair2_75,3,29,seo,nagao,
1,stair2_75,3,30,nagao,ours,
1,stair2_75,3,31,ours,real,
1,stair2_75,3,32,real,seo,
1,stair2_75,3,33,nagao,seo,
1,stair2_75,3,34,real,nagao,
1,stair2_75,3,35,ours,seo,
1,stair2_75,3,36,seo,real,
1,stair2_75,3,37,seo,nagao,
1,stair2_75,3,38,real,ours,
1,stair2_75,3,39,nagao,seo,
1,stair2_75,3,40,ours,seo,
1,stair2_75,3,41,real,seo,
1,stair2_75,3,42,nagao,real,
1,stair2_75,3,43,seo,ours,
1,stair2_75,3,44,ours,real,
1,stair2_75,3,45,ours,nagao,
1,stair2_75,3,46,real,nagao,
1,stair2_75,3,47,nagao,ours,
1,stair2_75,3,48,ours,nagao,
1,stair2_75,3,49,real,seo,
1,stair2_75,3,50,nagao,ours,
1,stair2_75,3,51,seo,nagao,
1,stair2_75,3,52,ours,real,
1,stair2_75,3,53,ours,seo,
1,stair2_75,3,54,nagao,seo,
1,stair2_75,3,55,seo,real,
1,stair2_75,3,56,real,nagao,
1,stair2_75,3,57,real,ours,
1,stair2_75,3,58,seo,ours,
1,stair2_75,3,59,nagao,real,
2,stair1_75,0,0,real,seo,
2,stair1_75,0,1,nagao,seo,
2,stair1_75,0,2,ours,seo,
2,stair1_75,0,3,seo,ours,
2,stair1_75,0,4,seo,real,
2,stair1_75,0,5,ours,nagao,
2,stair1_75,0,6,ours,real,
2,stair1_75,0,7,real,ours,
2,stair1_75,0,8,nagao,real,
2,stair1_75,0,9,seo,nagao,
2,stair1_75,0,10,real,nagao,
2,stair1_75,0,11,nagao,ours,
2,stair1_75,0,12,nagao,ours,
2,stair1_75,0,13,real,nagao,
2,stair1_75,0,14,seo,nagao,
2,stair1_75,0,15,real,seo,
2,stair1_75,0,16,ours,nagao,
2,stair1_75,0,17,seo,ours,
2,stair1_75,0,18,ours,real,
2,stair1_75,0,19,real,ours,
2,stair1_75,0,20,seo,real,
2,stair1_75,0,21,ours,seo,
2,stair1_75,0,22,nagao,seo,
2,stair1_75,0,23,nagao,real,
2,stair1_75,0,24,ours,seo,
2,stair1_75,0,25,real,ours,
2,stair1_75,0,26,nagao,ours,
2,stair1_75,0,27,ours,nagao,
2,stair1_75,0,28,seo,nagao,
2,stair1_75,0,29,real,seo,
2,stair1_75,0,30,nagao,real,
2,stair1_75,0,31,real,nagao,
2,stair1_75,0,32,seo,real,
2,stair1_75,0,33,ours,real,
2,stair1_75,0,34,nagao,seo,
2,stair1_75,0,35,seo,ours,
2,stair1_75,0,36,real,seo,
2,stair1_75,0,37,real,nagao,
2,stair1_75,0,38,seo,ours,
2,stair1_75,0,39,seo,real,
2,stair1_75,0,40,real,ours,
2,stair1_75,0,41,ours,seo,
2,stair1_75,0,42,nagao,seo,
2,stair1_75,0,43,seo,nagao,
2,stair1_75,0,44,nagao,ours,
2,stair1_75,0,45,nagao,real,
2,stair1_75,0,46,ours,nagao,
2,stair1_75,0,47,ours,real,
2,stair1_75,0,48,nagao,seo,
2,stair1_75,0,49,real,ours,
2,stair1_75,0,50,real,seo,
2,stair1_75,0,51,nagao,ours,
2,stair1_75,0,52,real,nagao,
2,stair1_75,0,53,seo,real,
2,stair1_75,0,54,ours,seo,
2,stair1_75,0,55,nagao,real,
2,stair1_75,0,56,ours,real,
2,stair1_75,0,57,ours,nagao,
2,stair1_75,0,58,seo,nagao,
2,stair1_75,0,59,seo,ours,
2,stair2_75,1,0,nagao,ours,
2,stair2_75,1,1,real,nagao,
2,stair2_75,1,2,nagao,real,
2,stair2_75,1,3,nagao,seo,
2,stair2_75,1,4,seo,nagao,
2,stair2_75,1,5,ours,nagao,
2,stair2_75,1,6,ours,real,
2,stair2_75,1,7,seo,real,
2,stair2_75,1,8,ours,seo,
2,stair2_75,1,9,seo,ours,
2,stair2_75,1,10,real,ours,
2,stair2_75,1,11,real,seo,
2,stair2_75,1,12,seo,ours,
2,stair2_75,1,13,nagao,ours,
2,stair2_75,1,14,nagao,real,
2,stair2_75,1,15,nagao,seo,
2,stair2_75,1,16,ours,nagao,
2,stair2_75,1,17,ours,seo,
2,stair2_75,1,18,seo,nagao,
2,stair2_75,1,19,real,seo,
2,stair2_75,1,20,real,nagao,
2,stair2_75,1,21,real,ours,
2,stair2_75,1,22,ours,real,
2,stair2_75,1,23,seo,real,
2,stair2_75,1,24,real,nagao,
2,stair2_75,1,25,real,seo,
2,stair2_75,1,26,seo,nagao,
2,stair2_75,1,27,seo,ours,
2,stair2_75,1,28,nagao,ours,
2,stair2_75,1,29,ours,seo,
2,stair2_75,1,30,real,ours,
2,stair2_75,1,31,seo,real,
2,stair2_75,1,32,ours,nagao,
2,stair2_75,1,33,nagao,real,
2,stair2_75,1,34,nagao,seo,
2,stair2_75,1,35,ours,real,
2,stair2_75,1,36,nagao,real,
2,stair2_75,1,37,seo,ours,
2,stair2_75,1,38,ours,nagao,
2,stair2_75,1,39,ours,seo,
2,stair2_75,1,40,ours,real,
2,stair2_75,1,41,seo,real,
2,stair2_75,1,42,nagao,seo,
2,stair2_75,1,43,real,seo,
2,stair2_75,1,44,seo,nagao,
2,stair2_75,1,45,nagao,ours,
2,stair2_75,1,46,real,ours,
2,stair2_75,1,47,real,nagao,
2,stair2_75,1,48,seo,nagao,
2,stair2_75,1,49,ours,real,
2,stair2_75,1,50,nagao,ours,
2,stair2_75,1,51,ours,nagao,
2,stair2_75,1,52,seo,real,
2,stair2_75,1,53,real,seo,
2,stair2_75,1,54,seo,ours,
2,stair2_75,1,55,real,ours,
2,stair2_75,1,56,ours,seo,
2,stair2_75,1,57,nagao,seo,
2,stair2_75,1,58,real,nagao,
2,stair2_75,1,59,nagao,real,
2,stair1_100,2,0,ours,real,
2,stair1_100,2,1,nagao,real,
2,stair1_100,2,2,ours,seo,
2,stair1_100,2,3,seo,real,
2,stair1_100,2,4,nagao,ours,
2,stair1_100,2,5,seo,ours,
2,stair1_100,2,6,real,seo,
2,stair1_100,2,7,nagao,seo,
2,stair1_100,2,8,seo,nagao,
2,stair1_100,2,9,real,nagao,
2,stair1_100,2,10,real,ours,
2,stair1_100,2,11,ours,nagao,
2,stair1_100,2,12,real,seo,
2,stair1_100,2,13,real,nagao,
2,stair1_100,2,14,nagao,real,
2,stair1_100,2,15,real,ours,
2,stair1_100,2,16,ours,seo,
2,stair1_100,2,17,seo,real,
2,stair1_100,2,18,nagao,seo,
2,stair1_100,2,19,ours,real,
2,stair1_100,2,20,nagao,ours,
2,stair1_100,2,21,ours,nagao,
2,stair1_100,2,22,seo,nagao,
2,stair1_100,2,23,seo,ours,
2,stair1_100,2,24,nagao,ours,
2,stair1_100,2,25,nagao,seo,
2,stair1_100,2,26,real,nagao,
2,stair1_100,2,27,real,seo,
2,stair1_100,2,28,ours,real,
2,stair1_100,2,29,seo,ours,
2,stair1_100,2,30,seo,real,
2,stair1_100,2,31,real,ours,
2,stair1_100,2,32,nagao,real,
2,stair1_100,2,33,seo,nagao,
2,stair1_100,2,34,ours,seo,
2,stair1_100,2,35,ours,nagao,
2,stair1_100,2,36,real,ours,
2,stair1_100,2,37,real,nagao,
2,stair1_100,2,38,real,seo,
2,stair1_100,2,39,ours,seo,
2,stair1_100,2,40,ours,real,
2,stair1_100,2,41,nagao,ours,
2,stair1_100,2,42,ours,nagao,
2,stair1_100,2,43,seo,real,
2,stair1_100,2,44,seo,ours,
2,stair1_100,2,45,seo,nagao,
2,stair1_100,2,46,nagao,seo,
2,stair1_100,2,47,nagao,real,
2,stair1_100,2,48,ours,seo,
2,stair1_100,2,49,ours,nagao,
2,stair1_100,2,50,nagao,ours,
2,stair1_100,2,51,nagao,real,
2,stair1_100,2,52,seo,nagao,
2,stair1_100,2,53,seo,real,
2,stair1_100,2,54,real,seo,
2,stair1_100,2,55,real,ours,
2,stair1_100,2,56,seo,ours,
2,stair1_100,2,57,real,nagao,
2,stair1_100,2,58,nagao,seo,
2,stair1_100,2,59,ours,real,
2,stair2_100,3,0,real,ours,
2,stair2_100,3,1,nagao,real,
2,stair2_100,3,2,ours,nagao,
2,stair2_100,3,3,nagao,seo,
2,stair2_100,3,4,seo,nagao,
2,stair2_100,3,5,real,nagao,
2,stair2_100,3,6,seo,ours,
2,stair2_100,3,7,seo,real,
2,stair2_100,3,8,real,seo,
2,stair2_100,3,9,nagao,ours,
2,stair2_100,3,10,ours,real,
2,stair2_100,3,11,ours,seo,
2,stair2_100,3,12,seo,real,
2,stair2_100,3,13,nagao,ours,
2,stair2_100,3,14,seo,nagao,
2,stair2_100,3,15,nagao,seo,
2,stair2_100,3,16,real,nagao,
2,stair2_100,3,17,real,ours,
2,stair2_100,3,18,nagao,real,
2,stair2_100,3,19,real,seo,
2,stair2_100,3,20,seo,ours,
2,stair2_100,3,21,ours,nagao,
2,stair2_100,3,22,ours,seo,
2,stair2_100,3,23,ours,real,
2,stair2_100,3,24,ours,nagao,
2,stair2_100,3,25,real,nagao,
2,stair2_100,3,26,seo,nagao,
2,stair2_100,3,27,nagao,ours,
2,stair2_100,3,28,real,ours,
2,stair2_100,3,29,nagao,real,
2,stair2_100,3,30,seo,real,
2,stair2_100,3,31,ours,real,
2,stair2_100,3,32,nagao,seo,
2,stair2_100,3,33,real,seo,
2,stair2_100,3,34,seo,ours,
2,stair2_100,3,35,ours,seo,
2,stair2_100,3,36,real,nagao,
2,stair2_100,3,37,seo,real,
2,stair2_100,3,38,nagao,real,
2,stair2_100,3,39,nagao,seo,
2,stair2_100,3,40,seo,nagao,
2,stair2_100,3,41,nagao,ours,
2,stair2_100,3,42,ours,seo,
2,stair2_100,3,43,seo,ours,
2,stair2_100,3,44,real,ours,
2,stair2_100,3,45,ours,real,
2,stair2_100,3,46,real,seo,
2,stair2_100,3,47,ours,nagao,
2,stair2_100,3,48,real,nagao,
2,stair2_100,3,49,real,ours,
2,stair2_100,3,50,seo,real,
2,stair2_100,3,51,ours,seo,
2,stair2_100,3,52,ours,nagao,
2,stair2_100,3,53,real,seo,
2,stair2_100,3,54,nagao,seo,
2,stair2_100,3,55,seo,ours,
2,stair2_100,3,56,ours,real,
2,stair2_100,3,57,nagao,real,
2,stair2_100,3,58,nagao,ours,
2,stair2_100,3,59,seo,nagao,
3,stair1_75,0,0,ours,nagao,
3,stair1_75,0,1,seo,real,
3,stair1_75,0,2,ours,seo,
3,stair1_75,0,3,real,nagao,
3,stair1_75,0,4,nagao,real,
3,stair1_75,0,5,seo,ours,
3,stair1_75,0,6,real,seo,
3,stair1_75,0,7,nagao,seo,
3,stair1_75,0,8,ours,real,
3,stair1_75,0,9,nagao,ours,
3,stair1_75,0,10,real,ours,
3,stair1_75,0,11,seo,nagao,
3,stair1_75,0,12,nagao,ours,
3,stair1_75,0,13,nagao,seo,
